Marca temporal,Edat:,Gènere:,Quina relació tens amb la persona diagnosticada?,En quin moment del procés oncològic es troba actualment?,"Quan vas conèixer el diagnòstic, vas rebre informació o orientació sobre com gestionar emocionalment la situació?","Si vas rebre suport per altres persones o entitats, quines són?",Com valores el suport emocional o psicològic que has rebut durant el procés?,Quins aspectes consideres que han estat o són més difícils d'afrontar durant el procés?,"Has sentit en algun moment la necessitat de rebre ajuda professional (psicòleg/a, grup de suport, etc.) per gestionar la situació?","Si has necessitat ajuda o recursos, consideres que aquests han estat fàcilment accessibles per a tu?","Si en tens, quins recursos o estratègies t'han ajudat més a gestionar emocionalment la situació?","Consideres que una guia psicoeducativa per a familiars de pacients amb càncer, lliurada a l'inici del tractament, podria ser útil?",Quina informació o orientació t'hauria ajudat tenir des de l'inici del procés?,"Quins temes consideres més útils per incloure en una guia per a familiars?
(Marca de 3 a 5 opcions)",Vols afegir algun comentari o suggeriment?
8/01/2026 19:16:07,70,Home,Jo mateix ,Controls posteriors a la superació de la malaltia,No,La familia,3,La angoixa de no sapiguer si t’en sortiràs ,No,No,Pensar constantment que me’n sortiria,Sí,No ho se.,"Com donar suport a la persona afectada, Autocura i benestar del cuidador/a, Recursos de suport (psicològic i/o social)","No, espero que et pugui servir."
1/01/2026 8:11:46,70,Dona,Parella o persona amb qui comparteixo la vida,Controls posteriors a la superació de la malaltia,No,,3,Emocions,Sí,Sí,Compartir amb altres ,Sí,A quines emocions  t has afrontar ,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com afrontar la por, la tristesa o la incertesa, Signes d'alerta de sobrecàrrega emocional, Recursos de suport (psicològic i/o social)",
7/01/2026 22:16:17,48,Dona,Persona amiga o de suport proper,Controls posteriors a la superació de la malaltia,No,,1,Acceptació de la nalaltia,Sí,No,"Llegir,informacio",Sí,Quant més millor,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa",
24/12/2025 8:25:29,53,Dona,Persona amiga o de suport proper,Controls posteriors a la superació de la malaltia,"Sí, per altres persones / entitats",Associació Maresme Oncològic,5,Incertidumbre pels resultats i la comprensió,Sí,No,Terapia i suport per part d'associacions ,Sí,Informació del procés de la malaltia i suport/gestió emocional durant aquest procés.,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Autocura i benestar del cuidador/a, Recursos de suport (psicològic i/o social)",La gestió emocional i canvis en la teva vida quan et donen l:alta mèdica
7/01/2026 23:17:09,53,Dona,Persona amiga o de suport proper,Controls posteriors a la superació de la malaltia,"Sí, per part dels professionals de la salut",,5,Els efectes secundaris de la medicació,Sí,Sí,El psicóleg,Sí,Com donar suport emocional a la persona,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Autocura i benestar del cuidador/a, Signes d'alerta de sobrecàrrega emocional",
29/12/2025 22:09:51,23,Home,Progenitor/a,Controls posteriors a la superació de la malaltia,No,,2,La comunicació emocional amb la família.,No,No,,Sí,Les fases del procés. Les perspectives de supervivència.,"Com gestionar les emocions i l'estrès, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Recursos de suport (psicològic i/o social)",
12/01/2026 21:13:41,50,Dona,Progenitor/a,Controls posteriors a la superació de la malaltia,"Sí, per part dels professionals de la salut",Maresme Oncològic,1,La part emocional,Sí,No,Psicòleg privat,Sí,Com fer l’acompanyent i com saber cuidar-me,"Com gestionar les emocions i l'estrès, Com comunicar-se amb la persona afectada, Com afrontar la por, la tristesa o la incertesa, Autocura i benestar del cuidador/a, Recursos de suport (psicològic i/o social), Que la guia inclogui exercicis o activitats pràctiques",
12/01/2026 18:44:15,63,Home,Progenitor/a,Controls posteriors a la superació de la malaltia,"Sí, per part dels professionals de la salut",,5,La incertesa del que pot passar i els moments crítics.,No,No,Racionalitzar-ho tot.,Sí,Com havia d'anar tot el procés (però me la van donar).,"Com comunicar-se amb la persona afectada, Com comunicar-se amb els professionals sanitaris, Com donar suport a la persona afectada, Autocura i benestar del cuidador/a",
24/12/2025 19:13:45,50,Dona,Fill/a,Fase avançada / Final de vida / Cures pal·liatives,"Sí, per altres persones / entitats",Amiga psicòloga ,4,La recaiguda i la posterior pèrdua ,No,Sí,,Sí,Explicació de les diferents fases del procés per poder identificar-les,"Com comunicar-se amb la persona afectada, Com donar suport a la persona afectada, Com afrontar la por, la tristesa o la incertesa, Que la guia inclogui exercicis o activitats pràctiques",
8/01/2026 20:02:43,53,Dona,Persona amiga o de suport proper,Fase avançada / Final de vida / Cures pal·liatives,No,,1,Acceptar que marxarà ,Sí,No,,Sí,Psicologica,"Com comunicar-se amb la persona afectada, Com afrontar la por, la tristesa o la incertesa",
